主字段,章节,等级,知识解析,拓展解析
"<div style=""text-align: center; font-size: 24px;""><b>左金丸</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[左金黄连与吴萸]],[[胁痛吞酸悉能除]]。<br>[[清肝泻火降逆呕]],[[肝火犯胃此方摧]]。<br>[[再加芍药名戊己]],[[专治泻痢痛在脐]]<br>###组成::[[黄连、吴茱萸]]<br>###主治::[[肝火犯胃]]证。胁肋胀痛，嘈杂吞酸，呕吐口苦，脘痞嗳气，舌红苔黄，脉弦数<br>###功用::[[清泻肝火，降逆止呕]]","方歌::[[左金黄连与吴萸]],[[胁痛吞酸悉能除]]。<br>[[清肝泻火降逆呕]],[[肝火犯胃此方摧]]。<br>[[再加芍药名戊己]],[[专治泻痢痛在脐]]<br>###组成::[[黄连、吴茱萸]]<br>###主治::[[肝火犯胃]]证。胁肋胀痛，嘈杂吞酸，呕吐口苦，脘痞嗳气，舌红苔黄，脉弦数<br>###功用::[[清泻肝火，降逆止呕]]"
"<div style=""text-align: center; font-size: 24px;""><b>泻白散</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[泻白桑皮地骨皮]],[[甘草粳米四般宜]]。<br>[[泻肺清热平咳喘]],[[肺热伏火喘咳需]]<br>###组成::[[桑白皮、地骨皮、炙甘草、粳米]]<br>###主治::[[肺热伏火之喘咳]]证。咳嗽，甚则气急欲喘，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数<br>###功用::[[清泻肺热，止咳平喘]]","方歌::[[泻白桑皮地骨皮]],[[甘草粳米四般宜]]。<br>[[泻肺清热平咳喘]],[[肺热伏火喘咳需]]<br>###组成::[[桑白皮、地骨皮、炙甘草、粳米]]<br>###主治::[[肺热伏火之喘咳]]证。咳嗽，甚则气急欲喘，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数<br>###功用::[[清泻肺热，止咳平喘]]"
"<div style=""text-align: center; font-size: 24px;""><b>清胃散</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[清胃散中升麻连]],[[当归生地丹皮全]]。<br>[[或加石膏清胃热]],[[凉血牙痛与牙宣]]<br>###组成::[[黄连、升麻、生地黄、牡丹皮、当归身]]<br>###主治::[[胃火上攻(牙痛)]]证。牙痛牵引头痛，面颊发热，其齿恶热喜冷，或牙宣出血，或牙龈肿痛溃烂，或唇舌颊腮肿痛，口气热臭，口干舌燥，舌红苔黄，脉滑大而数<br>###功用::[[清胃凉血]]","方歌::[[清胃散中升麻连]],[[当归生地丹皮全]]。<br>[[或加石膏清胃热]],[[凉血牙痛与牙宣]]<br>###组成::[[黄连、升麻、生地黄、牡丹皮、当归身]]<br>###主治::[[胃火上攻(牙痛)]]证。牙痛牵引头痛，面颊发热，其齿恶热喜冷，或牙宣出血，或牙龈肿痛溃烂，或唇舌颊腮肿痛，口气热臭，口干舌燥，舌红苔黄，脉滑大而数<br>###功用::[[清胃凉血]]"
"<div style=""text-align: center; font-size: 24px;""><b>玉女煎</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[玉女煎用熟地黄]],[[膏知牛膝麦冬襄]]。<br>[[胃火阴虚相因病]],[[牙痛齿衄宜煎尝]]<br>###组成::[[生石膏、知母、熟地、麦冬、牛膝]]<br>###主治::[[胃热阴虚]]证。头痛，牙痛，或牙齿松动，牙龈出血，烦热干渴，舌红苔黄而干。脉浮洪滑大，重按无力。亦治消渴，消谷善饥等<br>###功用::[[清胃热，滋肾阴]]","方歌::[[玉女煎用熟地黄]],[[膏知牛膝麦冬襄]]。<br>[[胃火阴虚相因病]],[[牙痛齿衄宜煎尝]]<br>###组成::[[生石膏、知母、熟地、麦冬、牛膝]]<br>###主治::[[胃热阴虚]]证。头痛，牙痛，或牙齿松动，牙龈出血，烦热干渴，舌红苔黄而干。脉浮洪滑大，重按无力。亦治消渴，消谷善饥等<br>###功用::[[清胃热，滋肾阴]]"
"<div style=""text-align: center; font-size: 24px;""><b>芍药汤</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[芍药汤中槟大黄]],[[芩连归桂草木香]]。<br>[[清热燥湿调气血]],[[湿热痢疾自安康]]<br>###组成::[[黄连、黄芥、芍药、当归、槟榔、木香、炙甘草、大黄、官桂]]<br>###主治::[[湿热痢疾]]。腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉滑数<br>###功用::[[清热燥湿，调气和血]]","方歌::[[芍药汤中槟大黄]],[[芩连归桂草木香]]。<br>[[清热燥湿调气血]],[[湿热痢疾自安康]]<br>###组成::[[黄连、黄芥、芍药、当归、槟榔、木香、炙甘草、大黄、官桂]]<br>###主治::[[湿热痢疾]]。腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉滑数<br>###功用::[[清热燥湿，调气和血]]"
"<div style=""text-align: center; font-size: 24px;""><b>白头翁汤</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[白头翁汤治热痢]],[[黄连黄柏与秦皮]]。<br>[[凉血止痢清热毒]],[[热毒痢疾功效奇]]<br>###组成::[[白头翁、黄连、黄柏、秦皮]]<br>###主治::[[热毒痢疾]]。腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水，舌红苔黄，脉弦数<br>###功用::[[清热解毒，凉血止痢]]","方歌::[[白头翁汤治热痢]],[[黄连黄柏与秦皮]]。<br>[[凉血止痢清热毒]],[[热毒痢疾功效奇]]<br>###组成::[[白头翁、黄连、黄柏、秦皮]]<br>###主治::[[热毒痢疾]]。腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水，舌红苔黄，脉弦数<br>###功用::[[清热解毒，凉血止痢]]"
"<div style=""text-align: center; font-size: 24px;""><b>导赤散</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[导赤生地与木通]],[[草梢竹叶四般供]]。<br>[[口糜淋痛小肠火]],[[引热同归小便中]]<br>###组成::[[木通、生地黄、生甘草梢、竹叶]]<br>###主治::[[心经火热证]]。心胸烦热，口渴面赤，意欲饮冷，口舌生疮；或心热移于小肠，小便赤涩刺痛，舌红脉数<br>###功用::[[清心养阴，利水通淋(清心利水养阴)]]","方歌::[[导赤生地与木通]],[[草梢竹叶四般供]]。<br>[[口糜淋痛小肠火]],[[引热同归小便中]]<br>###组成::[[木通、生地黄、生甘草梢、竹叶]]<br>###主治::[[心经火热证]]。心胸烦热，口渴面赤，意欲饮冷，口舌生疮；或心热移于小肠，小便赤涩刺痛，舌红脉数<br>###功用::[[清心养阴，利水通淋(清心利水养阴)]]"
"<div style=""text-align: center; font-size: 24px;""><b>苇茎汤</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[苇茎汤方出千金]],[[桃仁薏苡冬瓜仁]]。<br>[[瘀热结肺成痈毒]],[[清热排脓痰淤宁]]<br>###组成::[[「苇茎」、薏苡仁、瓜瓣、桃仁]]<br>###主治::[[肺痈，热毒壅滞，痰瘀互结]]证。身有微热，咳嗽痰多，甚则吐腥臭脓痰，胸中隐隐作痛(胸痛)，咳则痛增，舌质红，苔黄腻，脉滑数<br>###功用::[[清肺化痰，逐瘀排脓]]","方歌::[[苇茎汤方出千金]],[[桃仁薏苡冬瓜仁]]。<br>[[瘀热结肺成痈毒]],[[清热排脓痰淤宁]]<br>###组成::[[「苇茎」、薏苡仁、瓜瓣、桃仁]]<br>###主治::[[肺痈，热毒壅滞，痰瘀互结]]证。身有微热，咳嗽痰多，甚则吐腥臭脓痰，胸中隐隐作痛(胸痛)，咳则痛增，舌质红，苔黄腻，脉滑数<br>###功用::[[清肺化痰，逐瘀排脓]]"
"<div style=""text-align: center; font-size: 24px;""><b>泻黄散</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[泻黄甘草与防风]],[[石膏栀子藿香充]]。<br>[[炒香蜜酒调和服]],[[脾热口疮可见功]]<br>###组成::[[石膏、山栀子仁、藿香叶、防风、甘草、蜂蜜酒]]<br>###主治::[[脾胃伏火]]证。口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等<br>###功用::[[泻脾胃伏火]]","方歌::[[泻黄甘草与防风]],[[石膏栀子藿香充]]。<br>[[炒香蜜酒调和服]],[[脾热口疮可见功]]<br>###组成::[[石膏、山栀子仁、藿香叶、防风、甘草、蜂蜜酒]]<br>###主治::[[脾胃伏火]]证。口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等<br>###功用::[[泻脾胃伏火]]"
"<div style=""text-align: center; font-size: 24px;""><b>清心莲子饮</b></div>",方剂学::各方剂合集::清热剂::清脏腑热剂,2,"方歌::[[清心莲子芩麦冬]],[[地骨车前炙甘从]]。<br>[[莲肉人参黄芪茯]],[[心火气阴淋浊通]]<br>###组成::[[黄芩、麦冬去心、地骨皮、车前子、炙甘草、石莲肉去心、白茯苓、黄芪、蜜炙人参]]<br>###主治::[[心火偏旺，气阴两虚，湿热下注]]证。遗精淋浊，血崩带下，遇劳则发；或肾阴不足，口舌干燥，烦躁发热<br>###功用::[[清心火，益气阴，止淋浊]]","方歌::[[清心莲子芩麦冬]],[[地骨车前炙甘从]]。<br>[[莲肉人参黄芪茯]],[[心火气阴淋浊通]]<br>###组成::[[黄芩、麦冬去心、地骨皮、车前子、炙甘草、石莲肉去心、白茯苓、黄芪、蜜炙人参]]<br>###主治::[[心火偏旺，气阴两虚，湿热下注]]证。遗精淋浊，血崩带下，遇劳则发；或肾阴不足，口舌干燥，烦躁发热<br>###功用::[[清心火，益气阴，止淋浊]]"
"<div style=""text-align: center; font-size: 24px;""><b>青蒿鳖甲汤</b></div>",方剂学::各方剂合集::清热剂::清虚热剂,2,"方歌::[[青蒿鳖甲知地丹]],[[热伏阴分仔细看]]。<br>[[夜热早凉无汗出]],[[透热养阴服之安]]<br>###组成::[[青蒿、鳖甲、生地黄、知母、丹皮]]<br>###主治::[[温病后期，邪伏阴分证]]。夜热早凉，热退无汗，舌红少苔，脉细数<br>###功用::[[养阴透热]]","方歌::[[青蒿鳖甲知地丹]],[[热伏阴分仔细看]]。<br>[[夜热早凉无汗出]],[[透热养阴服之安]]<br>###组成::[[青蒿、鳖甲、生地黄、知母、丹皮]]<br>###主治::[[温病后期，邪伏阴分证]]。夜热早凉，热退无汗，舌红少苔，脉细数<br>###功用::[[养阴透热]]"
"<div style=""text-align: center; font-size: 24px;""><b>清骨散</b></div>",方剂学::各方剂合集::清热剂::清虚热剂,2,"方歌::[[清骨散用银柴胡]],[[胡连秦艽鳖甲辅]]。<br>[[地骨青蒿知母草]],[[骨蒸劳热一并除]]<br>###组成::[[「银柴胡」、胡黄连、地骨皮、知母、秦艽、青蒿、制鳖甲、甘草]]<br>###主治::[[肝肾阴虚，虚火内扰]]证。虚劳骨蒸，潮热盗汗，或低热日久不退，唇红颧赤，形体消瘦，或口渴心烦，困倦乏力，舌红少苔，脉细数<br>###功用::[[清虚热，退骨蒸]]","方歌::[[清骨散用银柴胡]],[[胡连秦艽鳖甲辅]]。<br>[[地骨青蒿知母草]],[[骨蒸劳热一并除]]<br>###组成::[[「银柴胡」、胡黄连、地骨皮、知母、秦艽、青蒿、制鳖甲、甘草]]<br>###主治::[[肝肾阴虚，虚火内扰]]证。虚劳骨蒸，潮热盗汗，或低热日久不退，唇红颧赤，形体消瘦，或口渴心烦，困倦乏力，舌红少苔，脉细数<br>###功用::[[清虚热，退骨蒸]]"
"<div style=""text-align: center; font-size: 24px;""><b>秦艽鳖甲散</b></div>",方剂学::各方剂合集::清热剂::清虚热剂,2,"方歌::[[秦艽鳖甲治风劳]],[[地骨柴胡及青蒿]]。<br>[[当归知母乌梅合]],[[阴血除蒸热亦消]]<br>###组成::[[地骨皮、柴胡、鳖甲、秦艽、知母、当归、青蒿、乌梅]]<br>###主治::[[风劳病]]。骨蒸盗汗，肌肉消瘦，唇红颧赤，午后潮热，咳嗽困倦，脉微数<br>###功用::[[滋阴养血，清热除蒸]]","方歌::[[秦艽鳖甲治风劳]],[[地骨柴胡及青蒿]]。<br>[[当归知母乌梅合]],[[阴血除蒸热亦消]]<br>###组成::[[地骨皮、柴胡、鳖甲、秦艽、知母、当归、青蒿、乌梅]]<br>###主治::[[风劳病]]。骨蒸盗汗，肌肉消瘦，唇红颧赤，午后潮热，咳嗽困倦，脉微数<br>###功用::[[滋阴养血，清热除蒸]]"
"<div style=""text-align: center; font-size: 24px;""><b>当归六黄汤</b></div>",方剂学::各方剂合集::清热剂::清虚热剂,2,"方歌::[[当归六黄二地黄]],[[芩连芪柏共煎尝]]。<br>[[滋阴泻火兼固表]],[[阴虚火旺盗汗良]]<br>###组成::[[「当归」、「生地黄」、「熟地黄」、黄芩、黄连、黄柏、黄芪]]<br>###主治::[[阴虚火旺之盗汗]]证。发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤，舌红苔黄，脉数<br>###功用::[[滋阴泻火，固表止汗]]","方歌::[[当归六黄二地黄]],[[芩连芪柏共煎尝]]。<br>[[滋阴泻火兼固表]],[[阴虚火旺盗汗良]]<br>###组成::[[「当归」、「生地黄」、「熟地黄」、黄芩、黄连、黄柏、黄芪]]<br>###主治::[[阴虚火旺之盗汗]]证。发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤，舌红苔黄，脉数<br>###功用::[[滋阴泻火，固表止汗]]"
"<div style=""text-align: center; font-size: 24px;""><b>新加香薷饮</b></div>",方剂学::各方剂合集::祛暑剂::祛暑解表剂,2,"方歌::[[新加香薷扁豆花]],[[厚朴连翘金银花]]。<br>[[祛暑解表湿热化]],[[暑温夹湿复寒佳]]<br>###组成::[[香薷、鲜扁豆花、厚朴、金银花、连翘]]<br>###主治::[[暑温夹湿，复感于寒]]。发热头痛，恶寒无汗，口渴面赤，胸闷不舒，舌苔白腻，脉浮而数<br>###功用::[[祛暑解表，清热化湿]]","方歌::[[新加香薷扁豆花]],[[厚朴连翘金银花]]。<br>[[祛暑解表湿热化]],[[暑温夹湿复寒佳]]<br>###组成::[[香薷、鲜扁豆花、厚朴、金银花、连翘]]<br>###主治::[[暑温夹湿，复感于寒]]。发热头痛，恶寒无汗，口渴面赤，胸闷不舒，舌苔白腻，脉浮而数<br>###功用::[[祛暑解表，清热化湿]]"
"<div style=""text-align: center; font-size: 24px;""><b>香薷散</b></div>",方剂学::各方剂合集::祛暑剂::祛暑解表剂,2,"方歌::[[香薷扁豆厚朴先]],[[阴暑证治此方牵]]。<br>[[祛暑和中表化湿]],[[新加银翘豆花煎]]<br>###组成::[[「香薷」、白扁豆姜厚朴]]<br>###主治::[[阴暑]]证。恶寒发热，无汗头痛，身重困倦，胸闷泛恶，或腹痛吐泻，舌苔白腻，脉浮<br>###功用::[[祛暑解表，化湿和中]]","方歌::[[香薷扁豆厚朴先]],[[阴暑证治此方牵]]。<br>[[祛暑和中表化湿]],[[新加银翘豆花煎]]<br>###组成::[[「香薷」、白扁豆姜厚朴]]<br>###主治::[[阴暑]]证。恶寒发热，无汗头痛，身重困倦，胸闷泛恶，或腹痛吐泻，舌苔白腻，脉浮<br>###功用::[[祛暑解表，化湿和中]]"
"<div style=""text-align: center; font-size: 24px;""><b>清络饮</b></div>",方剂学::各方剂合集::祛暑剂::祛暑清热剂,2,"方歌::[[清络饮用荷叶边]],[[竹丝银扁翠衣添]]。<br>[[祛暑清热轻清剂]],[[暑伤肺络气分显]]<br>###组成::[[「鲜银花」、「鲜扁豆花」、西瓜翠衣、丝瓜皮、鲜荷叶边、鲜竹叶心]]<br>###主治::[[暑热伤肺，邪在气分之轻]]证。身热口渴不甚，头目不清，昏眩微胀，舌淡红，苔薄白<br>###功用::[[祛暑清热]]","方歌::[[清络饮用荷叶边]],[[竹丝银扁翠衣添]]。<br>[[祛暑清热轻清剂]],[[暑伤肺络气分显]]<br>###组成::[[「鲜银花」、「鲜扁豆花」、西瓜翠衣、丝瓜皮、鲜荷叶边、鲜竹叶心]]<br>###主治::[[暑热伤肺，邪在气分之轻]]证。身热口渴不甚，头目不清，昏眩微胀，舌淡红，苔薄白<br>###功用::[[祛暑清热]]"
"<div style=""text-align: center; font-size: 24px;""><b>六一散</b></div>",方剂学::各方剂合集::祛暑剂::祛暑利湿剂,2,"方歌::[[六一散用滑石草]],[[清暑利湿有功效]]。<br>[[益元碧玉与鸡苏]],[[砂黛薄荷加之好]]<br>###组成::[[「滑石」、甘草]]<br>###主治::[[暑湿(轻)]]证。身热烦渴，小便不利，或泄泻，苔黄腻<br>###功用::[[清暑利湿]]","方歌::[[六一散用滑石草]],[[清暑利湿有功效]]。<br>[[益元碧玉与鸡苏]],[[砂黛薄荷加之好]]<br>###组成::[[「滑石」、甘草]]<br>###主治::[[暑湿(轻)]]证。身热烦渴，小便不利，或泄泻，苔黄腻<br>###功用::[[清暑利湿]]"
"<div style=""text-align: center; font-size: 24px;""><b>桂苓甘露饮</b></div>",方剂学::各方剂合集::祛暑剂::祛暑利湿剂,2,"方歌::[[桂苓甘露猪苓膏]],[[术泽寒水滑石草]]。<br>[[祛暑化气热利湿]],[[暑湿热渴吐泻消]]<br>###组成::[[茯苓、甘草、白术、泽泻、桂、石膏、寒水石、「滑石」、猪苓]]<br>###主治::[[暑湿]]证([[中暑并水湿内停]]证)。发热头痛，烦渴引饮，小便不利，以及霍乱吐下<br>###功用::[[祛暑清热，化气利湿]]","方歌::[[桂苓甘露猪苓膏]],[[术泽寒水滑石草]]。<br>[[祛暑化气热利湿]],[[暑湿热渴吐泻消]]<br>###组成::[[茯苓、甘草、白术、泽泻、桂、石膏、寒水石、「滑石」、猪苓]]<br>###主治::[[暑湿]]证([[中暑并水湿内停]]证)。发热头痛，烦渴引饮，小便不利，以及霍乱吐下<br>###功用::[[祛暑清热，化气利湿]]"
"<div style=""text-align: center; font-size: 24px;""><b>清暑益气汤</b></div>",方剂学::各方剂合集::祛暑剂::祛暑益气剂,2,"方歌::[[王氏清暑益气汤]],[[善治中暑气津伤]]。<br>[[洋参冬斛荷瓜翠]],[[连竹知母甘粳襄]]<br>###组成::[[西瓜翠衣、西洋参、荷梗、石斛、麦冬、黄连、竹叶、知母、粳米、甘草]]<br>###主治::[[暑热气津两伤]]证。身热汗多，心烦口渴，体倦少气，精神不振，小便短赤，舌质红，舌苔薄白或薄黄而干，脉虚数<br>###功用::[[清暑益气，养阴生津]]","方歌::[[王氏清暑益气汤]],[[善治中暑气津伤]]。<br>[[洋参冬斛荷瓜翠]],[[连竹知母甘粳襄]]<br>###组成::[[西瓜翠衣、西洋参、荷梗、石斛、麦冬、黄连、竹叶、知母、粳米、甘草]]<br>###主治::[[暑热气津两伤]]证。身热汗多，心烦口渴，体倦少气，精神不振，小便短赤，舌质红，舌苔薄白或薄黄而干，脉虚数<br>###功用::[[清暑益气，养阴生津]]"
"<div style=""text-align: center; font-size: 24px;""><b>理中丸</b></div>",方剂学::各方剂合集::温里剂::温中祛寒剂,2,"方歌::[[理中丸主温中阳]],[[甘草人参术干姜]]。<br>[[中焦虚寒痹惊血]],[[补气健脾又祛寒]]<br>###组成::[[人参、干姜、白术、炙甘草]]<br>###主治::1.[[脾胃虚寒]]证(中焦虚寒)。脘腹疼痛(脘腹绵绵作痛或冷痛)，喜温喜按，呕吐便溏([[自利不渴]])，脘痞食少，畏寒肢冷，口淡不渴，舌质淡、苔白润，脉沉细或沉迟无力<br>2.[[【*阳虚失血::脾胃虚寒，阳气虚弱，脾不统血所致*】]]证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀，面色眺白，气短神疲，脉沉细或虚大无力<br>3.中阳不足，阴寒上乘而致胸阳不振之[[【*胸痹::胸痹一病，总由上焦阳气不足，阴寒之邪上乘，胸中之气痹阻所致。若心中痞坚，逆气上冲心胸，是中焦阳虚，又有痰饮上犯所致。可用本方温中祛寒，益气健脾，使中焦气旺，则上焦之气开发，逆气可平，胸痹可愈*】]]<br>4.[[脾气虚寒]]，不能摄津之病后【*多涎唾::病后多生涎唾，久久不已，是脾气虚寒，不能摄津，津上溢于口所致。以本方丸剂缓治，亦可徐徐收功*】，甚则流涎不止<br>5.[[中阳虚损]]，[[【*小儿慢惊::小儿慢惊，总由先天不足，后天失调，或过服寒凉之品，或大病后调理不善，戕害脾胃阳气所致。若形气羸瘦、手足不温、呕吐泄泻、神疲食少、舌淡苔白、脉细迟或沉细缓弱者，纯属中焦虑寒，亦可用本方治疗*】]]<br>6.食欲不节，损伤脾胃阳气，清浊相干，升降失常之[[霍乱]]等<br>###功用::[[温中祛寒，补气健脾]]","方歌::[[理中丸主温中阳]],[[甘草人参术干姜]]。<br>[[中焦虚寒痹惊血]],[[补气健脾又祛寒]]<br>###组成::[[人参、干姜、白术、炙甘草]]<br>###主治::1.[[脾胃虚寒]]证(中焦虚寒)。脘腹疼痛(脘腹绵绵作痛或冷痛)，喜温喜按，呕吐便溏([[自利不渴]])，脘痞食少，畏寒肢冷，口淡不渴，舌质淡、苔白润，脉沉细或沉迟无力<br>2.[[【*阳虚失血::脾胃虚寒，阳气虚弱，脾不统血所致*】]]证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀，面色眺白，气短神疲，脉沉细或虚大无力<br>3.中阳不足，阴寒上乘而致胸阳不振之[[【*胸痹::胸痹一病，总由上焦阳气不足，阴寒之邪上乘，胸中之气痹阻所致。若心中痞坚，逆气上冲心胸，是中焦阳虚，又有痰饮上犯所致。可用本方温中祛寒，益气健脾，使中焦气旺，则上焦之气开发，逆气可平，胸痹可愈*】]]<br>4.[[脾气虚寒]]，不能摄津之病后【*多涎唾::病后多生涎唾，久久不已，是脾气虚寒，不能摄津，津上溢于口所致。以本方丸剂缓治，亦可徐徐收功*】，甚则流涎不止<br>5.[[中阳虚损]]，[[【*小儿慢惊::小儿慢惊，总由先天不足，后天失调，或过服寒凉之品，或大病后调理不善，戕害脾胃阳气所致。若形气羸瘦、手足不温、呕吐泄泻、神疲食少、舌淡苔白、脉细迟或沉细缓弱者，纯属中焦虑寒，亦可用本方治疗*】]]<br>6.食欲不节，损伤脾胃阳气，清浊相干，升降失常之[[霍乱]]等<br>###功用::[[温中祛寒，补气健脾]]"
"<div style=""text-align: center; font-size: 24px;""><b>小建中汤</b></div>",方剂学::各方剂合集::温里剂::温中祛寒剂,2,"方歌::[[小建中汤芍药多]],[[桂甘饴糖姜枣和]]。<br>[[温中补虚里缓急]],[[中焦虚寒虚劳瘥]]<br>###组成::[[桂枝、炙甘草、大枣、芍药、生姜、胶饴]]<br>###主治::[[中焦虚寒，肝脾失调，阴阳不和]]证。脘腹拘急疼痛，时发时止，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁，面色无华；或伴四肢酸楚，兼见手足烦热，咽干口燥等，舌淡苔白，脉细弦(而缓)。<br>###功用::[[温中补虚，和里缓急]]","方歌::[[小建中汤芍药多]],[[桂甘饴糖姜枣和]]。<br>[[温中补虚里缓急]],[[中焦虚寒虚劳瘥]]<br>###组成::[[桂枝、炙甘草、大枣、芍药、生姜、胶饴]]<br>###主治::[[中焦虚寒，肝脾失调，阴阳不和]]证。脘腹拘急疼痛，时发时止，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁，面色无华；或伴四肢酸楚，兼见手足烦热，咽干口燥等，舌淡苔白，脉细弦(而缓)。<br>###功用::[[温中补虚，和里缓急]]"
"<div style=""text-align: center; font-size: 24px;""><b>吴茱萸汤</b></div>",方剂学::各方剂合集::温里剂::温中祛寒剂,2,"方歌::[[吴茱萸汤参姜枣]],[[肝胃虚寒此方好]]。<br>[[阳明寒呕少阴利]],[[厥阴头痛皆能保]]<br>###组成::[[「吴茱萸」、人参、大枣、生姜]]<br>###主治::1.[[【*胃寒呕吐::阳明寒呕*】]]。食谷欲呕，胸膈满闷，胃脘冷痛，吞酸嘈杂，舌淡，脉沉弦而迟<br>2.[[肝寒上逆]]。干呕，吐涎沫，巅顶痛甚，舌淡，脉沉弦<br>3.[[肾寒上逆]]。呕吐下利，手足厥冷，烦躁欲死。舌淡脉沉细<br>###功用::[[温胃暖肝，温中补虚，降逆止呕]]","方歌::[[吴茱萸汤参姜枣]],[[肝胃虚寒此方好]]。<br>[[阳明寒呕少阴利]],[[厥阴头痛皆能保]]<br>###组成::[[「吴茱萸」、人参、大枣、生姜]]<br>###主治::1.[[【*胃寒呕吐::阳明寒呕*】]]。食谷欲呕，胸膈满闷，胃脘冷痛，吞酸嘈杂，舌淡，脉沉弦而迟<br>2.[[肝寒上逆]]。干呕，吐涎沫，巅顶痛甚，舌淡，脉沉弦<br>3.[[肾寒上逆]]。呕吐下利，手足厥冷，烦躁欲死。舌淡脉沉细<br>###功用::[[温胃暖肝，温中补虚，降逆止呕]]"
"<div style=""text-align: center; font-size: 24px;""><b>大建中汤</b></div>",方剂学::各方剂合集::温里剂::温中祛寒剂,2,"方歌::[[大建中汤建中阳]],[[蜀椒干姜参饴糖]]。<br>[[中阳虚衰阴寒盛]],[[温中降逆止痛强]]<br>###组成::[[「蜀椒」、干姜、人参、饴糖]]<br>###主治::[[中阳虚衰，阴寒内盛之脘腹疼痛]]，([[虚寒腹痛重]]证)。心胸中大寒痛，呕不能食，腹中寒，上冲皮起出见有头足，上下痛而不可触近，舌苔白滑，脉细沉紧，甚则肢厥脉伏<br>###功用::[[温中散寒补虚，降逆缓急止痛(温中补虚，降逆止痛)]]","方歌::[[大建中汤建中阳]],[[蜀椒干姜参饴糖]]。<br>[[中阳虚衰阴寒盛]],[[温中降逆止痛强]]<br>###组成::[[「蜀椒」、干姜、人参、饴糖]]<br>###主治::[[中阳虚衰，阴寒内盛之脘腹疼痛]]，([[虚寒腹痛重]]证)。心胸中大寒痛，呕不能食，腹中寒，上冲皮起出见有头足，上下痛而不可触近，舌苔白滑，脉细沉紧，甚则肢厥脉伏<br>###功用::[[温中散寒补虚，降逆缓急止痛(温中补虚，降逆止痛)]]"
"<div style=""text-align: center; font-size: 24px;""><b>四逆汤</b></div>",方剂学::各方剂合集::温里剂::回阳救逆剂,2,"方歌::[[四逆汤中附草姜]],[[四肢厥逆急煎尝]]。<br>[[脉微吐利阴寒盛]],[[回阳救逆赖此方]]<br>###组成::[[生附子、干姜、半炙甘草]]<br>###主治::[[少阴病阳衰阴盛]]证。四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，呕吐不渴，腹痛下利，舌苔白滑，脉沉微细；或太阳病误汗亡阳证<br>###功用::[[回阳救逆]]","方歌::[[四逆汤中附草姜]],[[四肢厥逆急煎尝]]。<br>[[脉微吐利阴寒盛]],[[回阳救逆赖此方]]<br>###组成::[[生附子、干姜、半炙甘草]]<br>###主治::[[少阴病阳衰阴盛]]证。四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，呕吐不渴，腹痛下利，舌苔白滑，脉沉微细；或太阳病误汗亡阳证<br>###功用::[[回阳救逆]]"
